ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.707459276231147349e+06,4.688701052007361315e+06,3.360102297215144616e+06
-2.707459205520469230e+06,4.688700981296683662e+06,3.360102297215144616e+06
-2.707459134809791110e+06,4.688700910586005077e+06,3.360102297215144616e+06
-2.707459064099112991e+06,4.688700839875327423e+06,3.360102297215144616e+06
-2.707458993388434872e+06,4.688700769164648838e+06,3.360102297215144616e+06
-2.707458922677756753e+06,4.688700698453971185e+06,3.360102297215144616e+06
-2.707458851967078634e+06,4.688700627743292600e+06,3.360102297215144616e+06
-2.707458781256400514e+06,4.688700557032614946e+06,3.360102297215144616e+06
-2.707458710545722395e+06,4.688700486321936361e+06,3.360102297215144616e+06
-2.707458639835044276e+06,4.688700415611258708e+06,3.360102297215144616e+06
-2.707458569124366157e+06,4.688700344900580123e+06,3.360102297215144616e+06
-2.707458498413688038e+06,4.688700274189902470e+06,3.360102297215144616e+06
-2.707458427703009918e+06,4.688700203479223885e+06,3.360102297215144616e+06
-2.707458356992331799e+06,4.688700132768546231e+06,3.360102297215144616e+06
-2.707458286281653680e+06,4.688700062057867646e+06,3.360102297215144616e+06
-2.707458215570975561e+06,4.688699991347189993e+06,3.360102297215144616e+06
-2.707458144860297441e+06,4.688699920636511408e+06,3.360102297215144616e+06
-2.707458074149619322e+06,4.688699849925833754e+06,3.360102297215144616e+06
-2.707458003438941203e+06,4.688699779215155169e+06,3.360102297215144616e+06
-2.707457932728263084e+06,4.688699708504477516e+06,3.360102297215144616e+06
-2.707457862017584965e+06,4.688699637793798931e+06,3.360102297215144616e+06
-2.707457791306906845e+06,4.688699567083121277e+06,3.360102297215144616e+06
-2.707457720596228726e+06,4.688699496372442693e+06,3.360102297215144616e+06
-2.707457649885550607e+06,4.688699425661765039e+06,3.360102297215144616e+06
-2.707457579174872488e+06,4.688699354951086454e+06,3.360102297215144616e+06
-2.707457508464194369e+06,4.688699284240408801e+06,3.360102297215144616e+06
-2.707457437753516249e+06,4.688699213529730216e+06,3.360102297215144616e+06
-2.707457367042838130e+06,4.688699142819052562e+06,3.360102297215144616e+06
-2.707457296332160011e+06,4.688699072108373977e+06,3.360102297215144616e+06
-2.707457225621481892e+06,4.688699001397696324e+06,3.360102297215144616e+06
-2.707457154910803773e+06,4.688698930687017739e+06,3.360102297215144616e+06
-2.707457084200125653e+06,4.688698859976340085e+06,3.360102297215144616e+06
-2.707457013489447534e+06,4.688698789265661500e+06,3.360102297215144616e+06
-2.707456942778769415e+06,4.688698718554983847e+06,3.360102297215144616e+06
-2.707456872068091296e+06,4.688698647844305262e+06,3.360102297215144616e+06
-2.707456801357413176e+06,4.688698577133627608e+06,3.360102297215144616e+06
-2.707456730646735057e+06,4.688698506422949024e+06,3.360102297215144616e+06
-2.707456659936056938e+06,4.688698435712271370e+06,3.360102297215144616e+06
-2.707456589225378819e+06,4.688698365001592785e+06,3.360102297215144616e+06
-2.707456518514700700e+06,4.688698294290915132e+06,3.360102297215144616e+06
-2.707456447804022580e+06,4.688698223580236547e+06,3.360102297215144616e+06
-2.707456377093344461e+06,4.688698152869558893e+06,3.360102297215144616e+06
-2.707456306382666342e+06,4.688698082158880308e+06,3.360102297215144616e+06
-2.707456235671988223e+06,4.688698011448202655e+06,3.360102297215144616e+06
-2.707456164961310104e+06,4.688697940737524070e+06,3.360102297215144616e+06
-2.707456094250631984e+06,4.688697870026846416e+06,3.360102297215144616e+06
-2.707456023539953865e+06,4.688697799316167831e+06,3.360102297215144616e+06
-2.707455952829275746e+06,4.688697728605490178e+06,3.360102297215144616e+06
-2.707455882118597627e+06,4.688697657894811593e+06,3.360102297215144616e+06
-2.707455811407919507e+06,4.688697587184133939e+06,3.360102297215144616e+06
-2.707455740697241388e+06,4.688697516473455355e+06,3.360102297215144616e+06
-2.707455669986563269e+06,4.688697445762777701e+06,3.360102297215144616e+06
-2.707455599275885150e+06,4.688697375052099116e+06,3.360102297215144616e+06
-2.707455528565207031e+06,4.688697304341421463e+06,3.360102297215144616e+06
-2.707455457854528911e+06,4.688697233630742878e+06,3.360102297215144616e+06
-2.707455387143850792e+06,4.688697162920065224e+06,3.360102297215144616e+06
-2.707455316433172673e+06,4.688697092209386639e+06,3.360102297215144616e+06
-2.707455245722494554e+06,4.688697021498708986e+06,3.360102297215144616e+06
-2.707455175011816435e+06,4.688696950788030401e+06,3.360102297215144616e+06
-2.707455104301138315e+06,4.688696880077352747e+06,3.360102297215144616e+06
-2.707455033590460196e+06,4.688696809366674162e+06,3.360102297215144616e+06
-2.707454962879782077e+06,4.688696738655996509e+06,3.360102297215144616e+06
-2.707454892169103958e+06,4.688696667945317924e+06,3.360102297215144616e+06
-2.707454821458425839e+06,4.688696597234640270e+06,3.360102297215144616e+06
-2.707454750747747719e+06,4.688696526523961686e+06,3.360102297215144616e+06
-2.707454680037069600e+06,4.688696455813284032e+06,3.360102297215144616e+06
-2.707454609326391481e+06,4.688696385102605447e+06,3.360102297215144616e+06
-2.707454538615713362e+06,4.688696314391927794e+06,3.360102297215144616e+06
-2.707454467905035242e+06,4.688696243681249209e+06,3.360102297215144616e+06
-2.707454397194357123e+06,4.688696172970571555e+06,3.360102297215144616e+06
-2.707454326483679004e+06,4.688696102259892970e+06,3.360102297215144616e+06
-2.707454255773000885e+06,4.688696031549215317e+06,3.360102297215144616e+06
-2.707454185062322766e+06,4.688695960838536732e+06,3.360102297215144616e+06
-2.707454114351644646e+06,4.688695890127859078e+06,3.360102297215144616e+06
-2.707454043640966527e+06,4.688695819417180493e+06,3.360102297215144616e+06
-2.707453972930288408e+06,4.688695748706502840e+06,3.360102297215144616e+06
-2.707453902219610289e+06,4.688695677995824255e+06,3.360102297215144616e+06
-2.707453831508932170e+06,4.688695607285146601e+06,3.360102297215144616e+06
-2.707453760798254050e+06,4.688695536574468017e+06,3.360102297215144616e+06
-2.707453690087575931e+06,4.688695465863790363e+06,3.360102297215144616e+06
-2.707453619376897812e+06,4.688695395153111778e+06,3.360102297215144616e+06
-2.707453548666219693e+06,4.688695324442434125e+06,3.360102297215144616e+06
-2.707453477955541573e+06,4.688695253731755540e+06,3.360102297215144616e+06
-2.707453407244863454e+06,4.688695183021077886e+06,3.360102297215144616e+06
-2.707453336534185335e+06,4.688695112310399301e+06,3.360102297215144616e+06
-2.707453265823507216e+06,4.688695041599721648e+06,3.360102297215144616e+06
-2.707453195112829097e+06,4.688694970889043063e+06,3.360102297215144616e+06
-2.707453124402150977e+06,4.688694900178365409e+06,3.360102297215144616e+06
-2.707453053691472858e+06,4.688694829467686825e+06,3.360102297215144616e+06
-2.707452982980794739e+06,4.688694758757009171e+06,3.360102297215144616e+06
-2.707452912270116620e+06,4.688694688046330586e+06,3.360102297215144616e+06
-2.707452841559438501e+06,4.688694617335652933e+06,3.360102297215144616e+06
-2.707452770848760381e+06,4.688694546624974348e+06,3.360102297215144616e+06
-2.707452700138082262e+06,4.688694475914296694e+06,3.360102297215144616e+06
-2.707452629427404143e+06,4.688694405203618109e+06,3.360102297215144616e+06
-2.707452558716726024e+06,4.688694334492940456e+06,3.360102297215144616e+06
-2.707452488006047904e+06,4.688694263782261871e+06,3.360102297215144616e+06
-2.707452417295369785e+06,4.688694193071584217e+06,3.360102297215144616e+06
-2.707452346584691666e+06,4.688694122360905632e+06,3.360102297215144616e+06
-2.707452275874013547e+06,4.688694051650227979e+06,3.360102297215144616e+06
-2.707452205163335428e+06,4.688693980939549394e+06,3.360102297215144616e+06
-2.707452134452657308e+06,4.688693910228871740e+06,3.360102297215144616e+06
-2.707452063723469619e+06,4.688693839536707848e+06,3.360102297215144616e+06
-2.707451992959127296e+06,4.688693768879734911e+06,3.360102297215144616e+06
-2.707451922144672833e+06,4.688693698272985406e+06,3.360102297215144616e+06
-2.707451851266677957e+06,4.688693627730020322e+06,3.360102297215144616e+06
-2.707451780313095544e+06,4.688693557263084687e+06,3.360102297215144616e+06
-2.707451709273125511e+06,4.688693486883238889e+06,3.360102297215144616e+06
-2.707451638137095608e+06,4.688693416600486264e+06,3.360102297215144616e+06
-2.707451566896351520e+06,4.688693346423878334e+06,3.360102297215144616e+06
-2.707451495543154422e+06,4.688693276361610740e+06,3.360102297215144616e+06
-2.707451424070593901e+06,4.688693206421114504e+06,3.360102297215144616e+06
-2.707451352472505067e+06,4.688693136609125882e+06,3.360102297215144616e+06
-2.707451280743394047e+06,4.688693066931764595e+06,3.360102297215144616e+06
-2.707451208878372796e+06,4.688692997394590639e+06,3.360102297215144616e+06
-2.707451136873096693e+06,4.688692928002658300e+06,3.360102297215144616e+06
-2.707451064723711926e+06,4.688692858760572970e+06,3.360102297215144616e+06
-2.707450992426807526e+06,4.688692789672531188e+06,3.360102297215144616e+06
-2.707450919979366940e+06,4.688692720742360689e+06,3.360102297215144616e+06
-2.707450847378733102e+06,4.688692651973560452e+06,3.360102297215144616e+06
-2.707450774622569792e+06,4.688692583369327709e+06,3.360102297215144616e+06
